Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
152,tt0039628,2016-09-14,2016-09-14,Original Story,Miracle on 34th Street,https://www.imdb.com/title/tt0039628/,movie,7.9,96,1947,"Comedy, Drama, Family",47929,1947-06-04,George Seaton
153,tt0039628,2016-09-14,2016-09-14,Screenplay,Miracle on 34th Street,https://www.imdb.com/title/tt0039628/,movie,7.9,96,1947,"Comedy, Drama, Family",47929,1947-06-04,George Seaton
154,tt0038924,2016-09-14,2016-09-14,Original Screenplay,The Seventh Veil,https://www.imdb.com/title/tt0038924/,movie,6.7,94,1945,"Drama, Music",2066,1945-10-22,Compton Bennett
155,tt0037980,2016-09-14,2016-09-14,Motion Picture Story,Perfect Strangers,https://www.imdb.com/title/tt0037980/,movie,7.1,102,1945,"Drama, Romance",1312,1945-10-15,Alexander Korda
156,tt0036868,2016-09-14,2016-09-14,Screenplay,The Best Years of Our Lives,https://www.imdb.com/title/tt0036868/,movie,8.1,170,1946,"Drama, Romance, War",64910,1946-11-21,William Wyler
157,tt0037899,2016-09-14,2016-09-14,Original Screenplay,Marie-Louise,https://www.imdb.com/title/tt0037899/,movie,6.8,103,1944,Drama,122,1944-02-19,"Leopold Lindtberg, Franz Schnyder, Hermann Haller"
158,tt0037795,2016-09-14,2016-09-14,Motion Picture Story,The House on 92nd Street,https://www.imdb.com/title/tt0037795/,movie,6.6,88,1945,"Crime, Drama, Film-Noir, Mystery, Thriller, War",3028,1945-09-26,Henry Hathaway
159,tt0037884,2016-09-14,2016-09-14,Screenplay,The Lost Weekend,https://www.imdb.com/title/tt0037884/,movie,7.9,101,1945,"Drama, Film-Noir",37530,1945-10-05,Billy Wilder
160,tt0037465,2016-09-14,2016-09-14,Original Screenplay,Wilson,https://www.imdb.com/title/tt0037465/,movie,6.4,154,1944,"Biography, Drama, History, Music, Romance",1593,1944-07-31,Henry King
161,tt0036872,2016-09-14,2016-09-14,Motion Picture Story,Going My Way,https://www.imdb.com/title/tt0036872/,movie,7.0,126,1944,"Comedy, Drama, Music",12128,1944-05-03,Leo McCarey
162,tt0036872,2016-09-14,2016-09-14,Screenplay,Going My Way,https://www.imdb.com/title/tt0036872/,movie,7.0,126,1944,"Comedy, Drama, Music",12128,1944-05-03,Leo McCarey
163,tt0036277,2016-09-14,2016-09-14,Original Screenplay,Princess O'Rourke,https://www.imdb.com/title/tt0036277/,movie,6.7,94,1943,"Comedy, Romance",1400,1943-10-23,Norman Krasna
164,tt0036022,2016-09-14,2016-09-14,Motion Picture Story,The Human Comedy,https://www.imdb.com/title/tt0036022/,movie,7.0,117,1943,"Comedy, Drama, Family, Romance, War",2177,1943-03-02,Clarence Brown
165,tt0034583,2016-09-14,2016-09-14,Screenplay,Casablanca,https://www.imdb.com/title/tt0034583/,movie,8.5,102,1942,"Drama, Romance, War",569822,1942-11-26,Michael Curtiz
166,tt0035567,2016-09-14,2016-09-14,Original Screenplay,Woman of the Year,https://www.imdb.com/title/tt0035567/,movie,7.2,114,1942,"Comedy, Drama, Romance, Sport",10292,1942-02-05,George Stevens
167,tt0033627,2016-09-14,2016-09-14,Motion Picture Story,49th Parallel,https://www.imdb.com/title/tt0033627/,movie,7.3,123,1941,"Drama, Thriller, War",6878,1941-10-08,Michael Powell
168,tt0035093,2016-09-14,2016-09-14,Screenplay,Mrs. Miniver,https://www.imdb.com/title/tt0035093/,movie,7.6,134,1942,"Drama, Romance, War",17998,1942-06-04,William Wyler
169,tt0033467,2016-09-14,2016-09-14,Original Screenplay,Citizen Kane,https://www.imdb.com/title/tt0033467/,movie,8.3,119,1941,"Drama, Mystery",441554,1941-05-01,Orson Welles
170,tt0033712,2016-09-14,2016-09-14,Motion Picture Story,Here Comes Mr. Jordan,https://www.imdb.com/title/tt0033712/,movie,7.6,94,1941,"Comedy, Fantasy, Romance",6689,1941-08-07,Alexander Hall
171,tt0033712,2016-09-14,2016-09-14,Screenplay,Here Comes Mr. Jordan,https://www.imdb.com/title/tt0033712/,movie,7.6,94,1941,"Comedy, Fantasy, Romance",6689,1941-08-07,Alexander Hall
172,tt0032554,2016-09-14,2016-09-14,Original Screenplay,The Great McGinty,https://www.imdb.com/title/tt0032554/,movie,7.3,82,1940,Comedy,4092,1940-07-19,Preston Sturges
173,tt0032220,2016-09-14,2016-09-14,Motion Picture Story,"Arise, My Love",https://www.imdb.com/title/tt0032220/,movie,6.9,110,1940,"Comedy, Drama, Romance",906,1940-10-16,Mitchell Leisen
174,tt0032904,2016-09-14,2016-09-14,Screenplay,The Philadelphia Story,https://www.imdb.com/title/tt0032904/,movie,7.9,112,1940,"Comedy, Romance",69718,1940-12-05,George Cukor
175,tt0031679,2016-09-14,2016-09-14,Original Story,Mr. Smith Goes to Washington,https://www.imdb.com/title/tt0031679/,movie,8.1,129,1939,"Comedy, Drama",116019,1939-10-17,Frank Capra
176,tt0031381,2016-09-14,2016-09-14,Screenplay,Gone with the Wind,https://www.imdb.com/title/tt0031381/,movie,8.2,238,1939,"Drama, Romance, War",315528,1939-12-15,"Sam Wood, George Cukor, Victor Fleming"
177,tt0029942,2016-09-14,2016-09-14,Original Story,Boys Town,https://www.imdb.com/title/tt0029942/,movie,7.2,96,1938,"Biography, Drama, Family",5846,1938-09-08,Norman Taurog
178,tt0030637,2016-09-14,2016-09-14,Screenplay,Pygmalion,https://www.imdb.com/title/tt0030637/,movie,7.8,96,1938,"Comedy, Drama, Romance",8820,1938-08-29,"Anthony Asquith, Leslie Howard"
179,tt0029606,2016-09-14,2016-09-14,Original Story,A Star Is Born,https://www.imdb.com/title/tt0029606/,movie,7.3,111,1937,"Drama, Romance",9999,1937-04-20,"William A. Wellman, Jack Conway, Victor Fleming"
180,tt0029146,2016-09-14,2016-09-14,Screenplay,The Life of Emile Zola,https://www.imdb.com/title/tt0029146/,movie,7.2,116,1937,"Biography, Drama",8344,1937-08-11,William Dieterle
181,tt0028313,2016-09-14,2016-09-14,Original Story,The Story of Louis Pasteur,https://www.imdb.com/title/tt0028313/,movie,7.3,86,1936,"Biography, Drama, History",2845,1936-02-22,William Dieterle
182,tt0028313,2016-09-14,2016-09-14,Screenplay,The Story of Louis Pasteur,https://www.imdb.com/title/tt0028313/,movie,7.3,86,1936,"Biography, Drama, History",2845,1936-02-22,William Dieterle
183,tt0026970,2016-09-14,2016-09-14,Original Story,The Scoundrel,https://www.imdb.com/title/tt0026970/,movie,6.2,76,1935,"Drama, Fantasy",380,1935-04-30,"Charles MacArthur, Ben Hecht"
184,tt0026529,2016-09-14,2016-09-14,Screenplay,The Informer,https://www.imdb.com/title/tt0026529/,movie,7.4,91,1935,"Crime, Drama",6585,1935-05-08,John Ford
185,tt0025464,2016-09-14,2016-09-14,Original Story,Manhattan Melodrama,https://www.imdb.com/title/tt0025464/,movie,7.1,93,1934,"Crime, Drama, Romance",4354,1934-05-04,"W.S. Van Dyke, George Cukor, Jack Conway"
186,tt0025316,2016-09-14,2016-09-14,Adaptation,It Happened One Night,https://www.imdb.com/title/tt0025316/,movie,8.1,105,1934,"Comedy, Romance",104366,1934-02-18,Frank Capra
187,tt0023305,2016-09-14,2016-09-14,Original Story,One Way Passage,https://www.imdb.com/title/tt0023305/,movie,7.5,67,1932,"Comedy, Drama, Romance",3856,1932-10-04,Tay Garnett
188,tt0024264,2016-09-14,2016-09-14,Adaptation,Little Women,https://www.imdb.com/title/tt0024264/,movie,7.2,115,1933,"Drama, Family, Romance, War",7214,1933-11-16,George Cukor
189,tt0021730,2016-09-14,2016-09-14,Original Story,The Champ,https://www.imdb.com/title/tt0021730/,movie,7.3,86,1931,"Drama, Family, Sport",3272,1931-11-09,King Vidor
190,tt0021635,2016-09-14,2016-09-14,Adaptation,Bad Girl,https://www.imdb.com/title/tt0021635/,movie,6.5,90,1931,"Drama, Romance",1396,1931-08-14,Frank Borzage
191,tt0020815,2016-09-14,2016-09-14,Original Story,The Dawn Patrol,https://www.imdb.com/title/tt0020815/,movie,7.1,108,1930,"Action, Drama, War",1875,1930-07-10,Howard Hawks
192,tt0021746,2016-09-14,2016-09-14,Adaptation,Cimarron,https://www.imdb.com/title/tt0021746/,movie,5.8,123,1931,"Drama, Western",6293,1931-01-26,Wesley Ruggles
193,tt0020686,2016-09-14,2016-09-14,,The Big House,https://www.imdb.com/title/tt0020686/,movie,7.1,87,1930,"Crime, Drama, Thriller",2318,1930-06-14,"Ward Wing, George W. Hill"
194,tt0019257,2016-09-14,2016-09-14,,The Patriot,https://www.imdb.com/title/tt0019257/,movie,,113,1928,"Drama, History, Thriller",,1928-08-17,Ernst Lubitsch
195,tt0018526,2016-09-14,2016-09-14,Original Story,Underworld,https://www.imdb.com/title/tt0018526/,movie,7.5,80,1927,"Crime, Drama, Film-Noir, Romance",3133,1927-08-20,"Arthur Rosson, Josef von Sternberg"
